Product,Category,Ingredients
Live Clean Fresh Water Hydrating Hand Soap Rating,Liquid Hand Soap,WATER (AQUA)  SODIUM LAURYL SULFOACETATE  COCAMIDOPROPYL BETAINE  SODIUM METHYL 2-SULFOLAURATE  SODIUM CHLORIDE  LAVANDULA ANGUSTIFOLIA (LAVENDER) EXTRACT*  CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT*  ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT*  CAMELLIA SINENSIS LEAF EXTRACT*  PANTHENOL  SODIUM HYALURONATE  TOCOPHERYL ACETATE  DISODIUM 2-SULFOLAURATE  HYDROXYPROPYL METHYLCELLULOSE  GLYCOL DISTEARATE  GLYCERIN  PHENOXYETHANOL  ETHYLHEXYLGLYCERIN  POTASSIUM SORBATE  SODIUM BENZOATE  HEXYL CINNAMAL  LIMONENE  LINALOOL  FRAGANCE (PARFUM)  CITRIC ACID.
"Maison De Base Foaming Hand Soap, Alpine Balsam Rating",Liquid Hand Soap,WATER (AQUA)  SODIUM LAURETH SULFATE  SODIUM C14-16 OLEFIN SULFONATE  COCAMIDOPROPYL BETAINE  FRAGRANCE (PARFUM)  GLYCERIN  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE  MAGNESIUM CHLORIDE  MAGNESIUM NITRATE  JOJOBA OIL PEG-150 ESTERS  DISODIUM EDTA  CITRIC ACID
"Medusa's Make-up Tinted Lip Balm, DM Rating",Lip Balm,TRIDECYL TRIMELLITATE  CAPRYLIC/CAPRIC TRIGLYCERIDE  BIS-DIGLYCERYL POLYACYLADIPATE-2  MICROCRYSTALLINE WAXES  Ozokerite  MICA  SILICA DIMETHYL SILYLATE  PHENOXYETHANOL  TOCOPHERYL ACETATE  Caprylyl Glycol  FRAGRANCE  MAY CONTAIN (for colorant): TITANIUM DIOXIDE  IRON OXIDE BLACK  IRON OXIDE YELLOW  IRON OXIDE RED  D&C RED NO 6 BA LAKE  D&C RED NO 7 CA LAKE  D&C RED NO.27 AI Lake
"ChapStick Classic Skin Protectant, Spearmint Rating",Lip Balm,Active Ingredients: White Petrolatum 45.0%; Inactive Ingredients: ARACHIDYL PROPIONATE  BLUE 1 LAKE  CARNAUBA WAX  CETYL ALCOHOL  ISOPROPYL LANOLATE  ISOPROPYL MYRISTATE  LANOLIN  LIGHT MINERAL OIL  MALTOL  NATURAL AND ARTIFICIAL FLAVOR  OCTYLDODECANOL  PARAFFIN  PHENYL TRIMETHICONE  SACCHARIN  WHITE WAX  YELLOW 5 LAKE
"Crystal Invisible Solid Deodorant, Vanilla & Jamine Rating",Antiperspirant/Deodorant,Propanediol  Water/Aqua  Polyglyceryl-10 Caprylate/Caprate  Stearic Acid  Ethylhexlglycerin  Sodium Bicarbonate  Sodium Hydroxide  Citric Acid  Hydroxycitronellal  Citrus Aurantium Dulcis Peel Extract  Mimosa Tenuiflora Leaf Extract  Viola Odorata Flower/Leaf Extract  Nelumbo Nucifera (Lotus Blossom)  Cymbopogon Martini Oil  Fragrance (parfum)
"Dove Advanced Care Dry Spray Antiperspirant Deodorant, Invisible Clear",Antiperspirant/Deodorant,Active Ingredients: Aluminum Sesquichlorohydrate 12.2%; Inactive Ingredients: BUTANE  CYCLOPENTASILOXANE  HYDROFLUOROCARBON 152A  ISOBUTANE  PPG-14 BUTYL ETHER  GLYCINE  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  FRAGRANCE  C12-15 ALKYL BENZOATE  DISTEARDIMONIUM HECTORITE  CALCIUM CHLORIDE  PROPANE  BHT  OCTYLDODECANOL  PROPYLENE CARBONATE  DIMETHICONOL  BENZYL ALCOHOL  BENZYL BENZOATE  CITRONELLOL  GERANIOL  HEXYL CINNAMAL  LIMONENE  LINALOOL
"Degree, Men Intense Sport Fresh Deodorant Rating",Antiperspirant/Deodorant,DIPROPYLENE GLYCOL  WATER (EAU)  PROPYLENE GLYCOL  SODIUM STEARATE  POLOXAMINE 1307  FRAGRANCE (PARFUM)  AMINOMETHYL PROPANOL  DISODIUM EDTA  BHT  SIMETHICONE  GREEN 3 (CI 42053).
Dove Advanced Care Sensitive Skin Liquid Hand Wash Rating,Liquid Hand Soap,Water (Aqua)  Cocamidopropyl Betaine  Glycerin  Sodium Chloride  Sodium Methyl Lauroyl Taurate  Sodium Lauroyl Isethionate  Lauric Acid  Stearic Acid  Palmitic Acid  Hydroxystearic Acid  Fragrance (Parfum)  Carbomer  Glycol Distearate  Citric Acid  Tetrasodium Edta  Phenoxyethanol  Iodopropynyl Butylcarbamate  Sodium Benzoate  Ppg-9  Peg-150 Pentaerythrityl Tetrastearate  Ppg-2 Hydroxyethyl Cocamide
Shine Skincare Co. Glycolic Foot Cream Rating,Foot Moisturizer,Aloe Vera  Shea Butter  Emulsifying Wax  Jojoba Seed Oil  Vitamin E  Sunflower Seed Oil  Neem Seed Oil  Rosemary Leaf Extract  Sunflower Seed Oil  Glycolic Acid  Avocado Oil  Phenoxyethanol  Stearic Acid  Evening Primrose Oil  White Willow Bark Extract  Witch Hazel  Provitamin B5  Organic Alcohol  Tetrasodium Glutamate Diacetate  Peppermint Oil  Mica
Old Spice Sweat Defense Aluminum Zirconium Trichlorohydrex Gly Soft Solid,Antiperspirant/Deodorant,"Active Ingredients: Aluminum zirconium trichlorohydrex
Gly 20.0%; Inactive Ingredients: CYCLOPENTASILOXANE  TRIBEHENIN  DIMETHICONE  PETROLATUM  CYCLODEXTRIN  FRAGRANCE  C18-36 ACID TRIGLYCERIDE  PPG-14 BUTYL ETHER  PANTHENYL TRIACETATE"
"Secret With Essential Oils Antiperspirant, No. 24 Lavender + Eucalyptus",Antiperspirant/Deodorant,Active Ingredients: Aluminum Zirconium Tetrachlorohydrex Gly (Anhydrous) 15.0%; Inactive Ingredients: CYCLOPENTASILOXANE  STEARYL ALCOHOL  MINERAL OIL  PPG-14 BUTYL ETHER  HYDROGENATED CASTOR OIL  PETROLATUM  TALC  CYCLODEXTRIN  OZOKERITE  LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL  FRAGRANCE  C20-40 PARETH-10  EUCALYPTUS GLOBULUS LEAF OIL  BEHENYL ALCOHOL
"Degree, Motionsense Antiperspirant Deodorant, Coconut & Hibiscus Rating",Antiperspirant/Deodorant,Active Ingredients: Aluminum Zirconium Tetrachlorohydrex GLY 19.2%; Inactive Ingredients: CYCLOPENTASILOXANE  STEARYL ALCOHOL  C12-15 ALKYL BENZOATE  PPG-14 BUTYL ETHER  HYDROGENATED CASTOR OIL FRAGRANCE (PARFUM)  POLYETHYLENE  CAPRYLIC/CAPRIC TRIGLYCERIDE  SODIUM STARCH OCTENYLSUCCINATE  MALTODEXTRIN  HYDRATED SILICA  HYDROLYZED CORN STARCH OCTENYLSUCCINATE  GELATIN CROSSPOLYMER  BHT  SILICA  CELLULOSE GUM
"AXE Signature Antiperspirant, Air Rating",Antiperspirant/Deodorant,Active Ingredients: Aluminum Zirconium Tetrachlorohydrex GLY 15.2%; Inactive Ingredients: CYCLOPENTASILOXANE  STEARYL ALCOHOL  C12-15 ALKYL BENZOATE  PPG-14 BUTYL ETHER  HYDROGENATED CASTOR OIL  FRAGRANCE (PARFUM)  DIMETHICONE  POLYETHYLENE  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  STEARETH-100  BHT
"Moira Glow Getter Hydrating Lip Oil, Berry Berry 05 Rating",Lip Balm,DIISOSTEARYL MALATE  POLYBUTENE  OCTYLDODECANOL  C12-15 ALKYL BENZOATE  SILICA DIMETHYL SILYLATE  SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL  HYDROGENATED COCONUT OIL  TOCOPHERYL ACETATE  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  CAPRYLIC/CAPRIC TRIGLYCERIDE  ALUMINUM HYDROXIDE  PHENOXYETHANOL  ALUMINA  ARGANIA SPINOSA KERNEL OIL  PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE  ETHYLHEXYLGLYCERIN  HYDROGENATED APRICOT KERNEL OIL  CAPRYLYL GLYCOL  CALCIUM TITANIUM BOROSILICATE  CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT  TIN OXIDE  TOCOPHEROL  BISABOLOL  MAY CONTAIN/PEUT CONTENIR/PUEDE CONTENER (+/-): BLUE 1 LAKE (CI 42090)  YELLOW 5 LAKE (CI 19140)  TITANIUM DIOXIDE (CI 77891)  RED 28 LAKE (CI 45410)
"Clinique Chubby Stick Moisturizing Lip Color Balm, Super Strawberry",Lip Balm,RICINUS COMMUNIS (CASTOR) SEED OIL  VEGETABLE OIL\OLUS\HUILE VEGETALE  CAPRYLIC/CAPRIC TRIGLYCERIDE  EUPHORBIA CERIFERA (CANDELILLA) WAX\CANDELILLA CERA\CIRE DE CANDELILLA  BEESWAX\CERA ALBA\CIRE D'ABEILLE  OZOKERITE  HYDROGENATED VEGETABLE OIL  BUTYROSPERMUM PARKII (SHEA BUTTER)  SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL  TOCOPHEROL  BUTYROSPERMUM PARKII (SHEA BUTTER) EXTRACT  MANGIFERA INDICA (MANGO) SEED BUTTER  LIMNANTHES ALBA (MEADOWFOAM) SEED OIL  HYDROGENATED OLIVE OIL GLYCINE SOJA (SOYBEAN) OIL  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  [+/- TITANIUM DIOXIDE (CI 77891)  YELLOW 5 LAKE (CI 19140)  IRON OXIDES (CI 77491)  IRON OXIDES (CI 77492)  IRON OXIDES (CI 77499)  YELLOW 6 LAKE (CI 15985)  RED 7 LAKE (CI 15850)  RED 6 (CI 15850)   BISMUTH OXYCHLORIDE (CI 77163)  CARMINE (CI 75470)  RED 22 LAKE (CI 45380)   RED 33 LAKE (CI 17200)  RED 28 LAKE (CI 45410)  MICA  BLUE 1 LAKE (CI 42090)  RED 30 LAKE (CI 73360)]
Cake Walk Foot Creme Rating,Foot Moisturizer,WATER/AQUA/EAU  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  GLYCERIN  PERSEA GRATISSIMA (AVOCADO) OIL  PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL  GLYCERYL STEARATE SE  CETEARYL ALCOHOL  CAPRYLIC/CAPRIC TRIGLYCERIDE  STEARIC ACID  CETYL ALCOHOL  THEOBROMA CACAO (COCOA) SEED BUTTER  CYCLOPENTASILOXANE  CETEARETH-20  COCOS NUCIFERA (COCONUT) OIL  MENTHOL  MENTHA VIRIDIS (SPEARMINT) LEAF OIL  MANGIFERA INDICA (MANGO) SEED BUTTER  MENTHA PIPERITA (PEPPERMINT) OIL  PHENOXYETHANOL  CAPRYLYL GLYCOL  SORBIC ACID  CARBOMER  SODIUM HYDROXIDE
"Megababe Daily Deodorant, Rosy Pits Rating",Antiperspirant/Deodorant,PROPYLENE GLYCOL  WATER (AQUA)  SODIUM STEARATE  SACCHAROMYCES FERMENT  GLYCERIN  PROPANEDIOL  FRAGRANCE (PARFUM)  HYDRATED SILICA  ZEA MAYS (CORN) STARCH  PHENOXYETHANOL  SILICA CETYL SILYLATE  AVENA SATIVA (OAT) KERNEL FLOUR  ETHYLHEXYLGLYCERIN  CAFFEINE  SALVIA OFFICINALIS (SAGE) LEAF EXTRACT  ALOE BARBADENSIS LEAF JUICE  POTASSIUM SORBATE  SODIUM BENZOATE  COCOS NUCIFERA (COCONUT) OIL  ARGININE  SQUALANE  CAMELLIA SINENSIS LEAF EXTRACT  SALIX ALBA (WILLOW) BARK EXTRACT  LEUCONOSTOC/RADISH ROOT FERMENT FILTRATE  HYDROGENATED OLIVE OIL UNSAPONIFIABLES  BENZYL BENZOATE  CITRONELLOL  EUGENOL  GERANIOL  HEXYL CINNAMAL  LIMONENE  LINALOOL  ALPHA-ISOMETHYL IONONE
"Scent Theory Foaming Hand Soap, Snow Kissed Ginger Rating",Liquid Hand Soap,WATER (AQUA)  COCAMIDOPROPYL BETAINE  AMMONIUM LAURETH SULFATE  AMMONIUM LAURYL SULFATE  BENZOPHENONE-4  CITRIC ACID  FRAGRANCE  MAGNESIUM CHLORIDE  MAGNESIUM NITRATE  METHYL GLUCETH-10  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE  OLETH-10  PEG-120 METHYL GLUCOSE DIOLEATE  RED 4  YELLOW 6.
"Ulta Beauty Lip Quench Hydrating Balm, Grapefruit, Grapefruit Rating",Lip Balm,PHYTOSTERYL/ISOSTEARYL/ CETYL/STEARYL/BEHENYL DIMER DILINOLEATE  DIISOSTEARYL MALATE  HYDROGENATED POLYISOBUTENE  MICROCRYSTALLINE WAX/CERA MICROCRISTALLINA/CIRE MICROCRYSTALLINE  SUCROSE TETRASTEARATE TRIACETATE  PYRUS MALUS (APPLE) SEED OIL  FRAGRANCE/ PARFUM  TITANIUM DIOXIDE (CI 77891)  TOCOPHERYL ACETATE  DEHYDROACETIC ACID  RED 6 (CI 15850)  YELLOW 5 LAKE (CI 19140)  TOCOPHEROL  LIMONENE  LINALOOL.
"Yuni Chillax Muscle Recovery Gel Cools, Soothes Sore Spots & Tension With",Body Firming Lotion,WATER  ALOE BARBADENSIS LEAF JUICE  GLYCERIN  MENTHOL  MENTHA PIPERITA (PEPPERMINT) OIL  GLYCERYL STEARATE SE  CETEARYL OLIVATE  SORBITAN OLIVATE  ARNICA MONTANA FLOWER EXTRACT  CAPSICUM FRUTESCENS FRUIT EXTRACT  CAMELLIA SINENSIS LEAF EXTRACT  EUCALYPTUS GLOBULUS LEAF OIL  LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL  ARGININE  CAPRYLIC/CAPRIC TRIGLYCERIDE  TOCOPHERYL ACETATE  MENTHYL LACTATE  CARBOMER  FRAGRANCE*  GLUCONOLACTONE  SODIUM BENZOATE  LIMONENE**  COUMARIN**  GERANIOL**  LINALOOL**  BENZYL BENZOATE**  CITRAL**  GERANIOL**  HYDROXYCITRONELLAL**.
Dove Advanced Care Original Clean (2020 formulation) Rating,Antiperspirant/Deodorant,Active Ingredients: AluminumZirconium Tetrachlorohydrex GLY 15.2%; Inactive Ingredients: STEARYL ALCOHOL  C12-15 ALKYL BENZOATE  CYCLOPENTASILOXANE  ISOPROPYL PALMITATE  PPG-14 BUTYL ETHER  HYDROGENATED CASTOR OIL  PEG-8  FRAGRANCE (PARFUM)  DIMETHICONE  SILICA  POLYETHYLENE  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  STEARETH-100  BHT.
Clinique Chubby Stick Moisturizing Lip Colour Balm (2019 formulation),Lip Balm,RICINUS COMMUNIS (CASTOR) SEED OIL  CAPRYLIC/CAPRIC TRIGLYCERIDE  VEGETABLE OILOLUSHUILE VEGETALE  EUPHORBIA CERIFERA (CANDELILLA) WAXCANDELILLA CERACIRE DE CANDELILLA  BEESWAXCERA ALBACIRE D'ABEILLE  OZOKERITE  BUTYROSPERMUM PARKII (SHEA BUTTER)  HYDROGENATED VEGETABLE OIL  SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL  TOCOPHEROL  BUTYROSPERMUM PARKII (SHEA BUTTER) EXTRACT  MANGIFERA INDICA (MANGO) SEED BUTTER  LIMNANTHES ALBA (MEADOWFOAM) SEED OIL  HYDROGENATED OLIVE OIL  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  [+/-MICA  IRON OXIDES (CI 77491)  IRON OXIDES (CI 77492)  IRON OXIDES (CI 77499)  TITANIUM DIOXIDE (CI 77891)  YELLOW 5 LAKE (CI 19140)  RED 7 LAKE (CI 15850)  RED 30 LAKE (CI 73360)  RED 6 (CI 15850)  YELLOW 6 LAKE (CI 15985)  BLUE 1 LAKE (CI 42090)  RED 22 LAKE (CI 45380)  CARMINE (CI 75470)  RED 33 LAKE (CI 17200)  RED 28 LAKE (CI 45410)  BISMUTH OXYCHLORIDE (CI 77163)] [ILN40952]
"Village Naturals + Therapy, Muscle, 2 in 1 Epsom salt + Bubbles bath",Bath Oil/Salts/Soak,SODIUM CHLORIDE  SODIUM COCO SULFATE  ZEA MAYS (CORN) STARCH  MAGNESIUM SULFATE  SEA SALT EXTRACT  MENTHOL  GLYCERIN  EUCALYPTUS GLOBULUS LEAF OIL  MENTHA VIRIDIS (SPEARMINT) LEAF OIL  CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT  TOCOPHERYL ACETATE (VITAMIN E)  RETINYL PALMITATE (VITAMIN A)  FRAGRANCE
"Disney Lip Smacker Lip Balm, Plumberry Wonderland Icy Truffle Treat (2020",Lip Balm,RICINUS COMMUNIS (CASTOR) SEED OIL  CETYL ACETATE  BEESWAX/CIRE D'ABEILLE  EUPHORBIA CERIFERA (CANDELILLA) WAX/CIRE DE CANDELILLA  FLAVOR/AROMA  POLYBUTENE  PARAFFIN  SESAMUM INDICUM (SESAME) SEED OIL  COPERNICIA CERIFERA (CARNAUBA) WAX/CIRE DE CARNAUBA  HYDROGENATED SOYBEAN OIL  MINERAL OIL/HUILE MIN?RALE  ACETYLATED LANOLIN ALCOHOL  MICROCRYSTALLINE WAX/CIRE MICROCRISTALLINE  TRITICUM VULGARE (WHEAT) GERM OIL  STEARIC ACID  STEVIA REBAUDIANA LEAF/STEM EXTRACT  SUCRALOSE  PROPYLENE GLYCOL  PROPYL GALLATE  CITRIC ACID  PHENOXYETHANOL  TOCOPHEROL. MAY CONTAIN/PEUT CONTENIR: RED 7 LAKE (CI 15850)  TITANIUM DIOXIDE (CI 77891).
"Dove Dry Spray, Antiperspirant, Lavender Fresh (2020 formulation) Rating",Antiperspirant/Deodorant,Active Ingredients: Aluminum Chlorohydrate 20.2%; Inactive Ingredients: BUTANE  HYDROFLUOROCARBON 152A  CYCLOPENTASILOXANE  ISOBUTANE  PPG-14 BUTYL ETHER  FRAGRANCE (PARFUM)  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  DISTEARDIMONIUM HECTORITE  C12-15 ALKYL BENZOATE  PROPANE  BHT  OCTYLDODECANOL  PROPYLENE CARBONATE  DIMETHICONOL  TOCOPHERYL ACETATE
"Arm & Hammer Kitchen Fresh Liquid Hand Soap, Orange Citrus Rating",Liquid Hand Soap,WATER  SODIUM LAURETH SULFATE  SODIUM CHLORIDE  COCAMIDOPROPYL BETAINE  LAURYL GLUCOSIDE  COCAMIDE MEA  ALOE BARBADENSIS LEAF JUICE EXTRACT  FRAGRANCE  CETYL TRIETHYLMONIUM DIMETHICONE  PEG-8 SUCCINATE  POLYQUATERNIUM-7  SODIUM BICARBONATE  CITRIC ACID  DISODIUM EDTA  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE
"Germ X Moisturizing Hand Sanitizer, nourish Rating",Hand Sanitizer,Active Ingredients: Ethyl alcohol 62.0%; Inactive Ingredients: WATER  PEG-6  GLYCERIN  GLYCINE SOJA (SOYBEAN) OIL  BUTYLENE GLYCOL  BUTYROSPERMUM PARKI (SHEA BUTTER  DIMETHICONE  ALOE BARBADENSIS LEAF JUICE  ACRYLATES/VINYL ISODECANOATE CROSSPOLYMER  FRAGRANCE  AMINOMETHYLPROPANOL  STYRENE/ACRYLATES COPOLYMER  XANTHAN GUM  TOCOPHERYL ACETATE
"Old Spice Deodorant, Rogue Rating",Antiperspirant/Deodorant,DIPROPYLENE GLYCOL  WATER  PROPYLENE GLYCOL  SODIUM STEARATE  FRAGRANCE  PPG-3 MYRISTYL ETHER  CITRUS LIMON (LEMON) PEEL OIL  TETRASODIUM EDTA  GREEN 6
"Secret Clinical Strength Soft Solid Antiperspirant/deodorant, Stress",Antiperspirant/Deodorant,Active Ingredients: Aluminum Zirconium Trichlorohydrex Gly (Anhydrous) 20.0%; Inactive Ingredients: CYCLOPENTASILOXANE  TRIBEHENIN  DIMETHICONE  PETROLATUM  CYCLODEXTRIN  FRAGRANCE  C18-36 ACID TRIGLYCERIDE  PPG-14 BUTYL ETHER
"Softsoap Hand Soap, Pomegranate & Mango (2019 formulation) Rating",Liquid Hand Soap,INACTIVE INGREDIENTS: WATER  SODIUM LAURETH SULFATE  COCAMIDOPROPYL BETAINE  SODIUM CHLORIDE  COCAMIDE MEA  FRAGRANCE  SODIUM SALICYLATE  SODIUM BENZOATE  CITRIC ACID  TETRASODIUM EDTA  SODIUM SULFATE  POLYQUATERNIUM-7  PEG-18 GLYCERYL OLEATE/COCOATE  POLOXAMER 124  PUNICA GRANATUM FRUIT EXTRACT  MANGIFERA INDICA (MANGO) FRUIT EXTRACT  FD&C RED NO. 40  EXT. D&C VIOLET NO. 2
"Dove Dry Spray Antiperspirant, Revive (2020 formulation) Rating",Antiperspirant/Deodorant,Active Ingredients: Aluminum Chlorohydrate 20.2%; Inactive Ingredients: BUTANE  HYDROFLUOROCARBON 152A  CYCLOPENTASILOXANE  ISOBUTANE  PPG-14 BUTYL ETHER  FRAGRANCE (PARFUM)  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  DISTEARDIMONIUM HECTORITE  C12-15 ALKYL BENZOATE  PROPANE  BHT  OCTYLDODECANOL  PROPYLENE CARBONATE  DIMETHICONOL  TOCOPHERYL ACETATE
"Dove Even Tone Antiperspirant Deodorant Dry Spray, Peach Blossom & Rice",Antiperspirant/Deodorant,Active Ingredients: Aluminum Sesquichlorohydrate 12.2%; Inactive Ingredients: BUTANE  HYDROFLUOROCARBON 152A  CYCLOPENTASILOXANE  ISOBUTANE  PPG-14 BUTYL ETHER  ISOPROPYL ISOSTEARATE  FRAGRANCE (PARFUM)  GLYCINE  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  C12-15 ALKYL BENZOATE  DISTEARDIMONIUM HECTORITE  CALCIUM CHLORIDE  PROPANE  BHT  OCTYLDODECANOL  PROPYLENE CARBONATE  DIMETHICONOL  NIACINAMIDE  ALPHA-ISOMETHYL LONONE  BENZYL ALCOHOL  BENZYL SALICYLATE  CINNAMYL ALCOHOL  CITRONELLOL  COUMARIN  GERANIOL  HEXYL CINNAMAL  ISOEUGENOL  LIMONENE  LINALOOL
Old Spice Deodorant North Star (2020 formulation) Rating,Antiperspirant/Deodorant,DIPROPYLENE GLYCOL  WATER  PROPYLENE GLYCOL  SODIUM STEARATE  POLOXAMINE 1307  FRAGRANCE  PPG-3 MYRISTYL ETHER  TETRASODIUM EDTA  GREEN 6
Lady Speed Stick Parfum Infusions Rating,Antiperspirant/Deodorant,ELAEIS GUINEENSIS (PALM) KERNEL OIL  ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY  STEARYL ALCOHOL  CYCLOMETHICONE  C12-15 ALKYL BENZOATE  PPG-14 BUTYL ETHER  HYDROGENATED CASTOR OIL  HYDROGENATED SOYBEAN OIL  PEG-8 DISTEARATE  PARFUM  BEHENYL ALCOHOL  CITRIC ACID  PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE
"Colgate Optic White Renewal Anticavity Fluoride Toothpaste, Lasting Fresh",Toothpaste,active ingredients: sodium monofluorophosphate 0.76% (.12% w/v fluoride ion)  inactive ingredients: PROPYLENE GLYCOL  CALCIUM PYROPHOSPHATE  PVP  PEG/PPG-116/66 COPOLYMER  HYDROGEN PEROXIDE  FLAVOR  SODIUM LAURYL SULFATE  TETRASODIUM PYROPHOSPHATE  SODIUM SACCHARIN  DISODIUM PYROPHOSPHATE  SILICA  SUCRALOSE  BHT.
"Desert Essence Prebiotic Plant Based Toothpaste With Perilla Seed, Mint",Toothpaste,CALCIUM CARBONATE  GLYCERIN  ALOE BARBADENSIS LEAF JUICE  MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF WATER  SODIUM LAUROYL SARCOSINATE  MENTHA PIPERITA (PEPPERMINT) FLOWER/LEAF/ STEM OIL  CELLULOSE GUM  HYDROLYZED PEA PROTEIN  CICHORIUM INTYBUS (CHICORY) ROOT EXTRACT  INULIN (AGAVE). PERILLA FRUTESCENS EXTRACT (PERILLA SEED)  GLYCYRRHIZA GLABRA (LICORICE) ROOT EXTRACT  EQUISETUM AVENSE LEAF EXTRACT (HORSETAIL)  QUILLAJA SAPONARIA BARK EXTRACT (SOAP BARK)  MELIA AZADIRACHTA (NEEM) BARK EXTRACT  MENTHA ARVENSIS LEAF OIL (WILD MINT)  MENTHA VIRIDIS (SPEARMINT) LEAF OIL  MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF OIL  HAMAMELIS VIRGINIANA (WITCH HAZEL) EXTRACT  GLUTATHIONE  SODIUM BICARBONATE (BAKING SODA)  ZINC CITRATE  CALCIUM ASCORBATE (VITAMIN C). PHYTIC ACID  SEA SALT  STEVIA REBAUDIANA LEAF/ STEM POWDER
"E.l.f. Lip 3-in-1 Lip Plumping Pen, Just Peachy Rating",Lip Balm,BIS-BEHENYL/ISOSTEARYL/PHYTOSTERYL DIMER DILINOLEYL DIMER DILINOLEATE  DIISOSTEARYL MALATE  HYDROGENATED POLYISOBUTENE  BIS-DIGLYCERYL POLYACYLADIPATE-2  SYNTHETIC WAX  POLYGLYCERYL-2 TRIISOSTEARATE  MENTHONE GLYCERIN ACETAL  SILICA DIMETHYL SILYLATE  PASSIFLORA EDULIS SEED OIL  MICROCRYSTALLINE WAX (CERA MICROCRISTALLINA)  PUNICA GRANATUM FRUIT EXTRACT  CITRULLUS LANATUS (WATERMELON) FRUIT EXTRACT  VACCINIUM ANGUSTIFOLIUM (BLUEBERRY) FRUIT EXTRACT  SODIUM HYALURONATE  RICINUS COMMUNIS (CASTOR) SEED OIL  FRAGRANCE (PARFUM)  TOCOPHEROL  HYDROGENATED CASTOR OIL  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  WATER (AQUA)  BUTYLENE GLYCOL  ETHYLHEXYLGLYCERIN  PHENOXYETHANOL [+/-]; TITANIUM DIOXIDE (CI 77891)  IRON OXIDES (CI 77491  CI 77492)  RED 28 LAKE (CI 45410)
Degree Sensitive Dry Spray Antiperspirant Deodorant Rating,Antiperspirant/Deodorant,Active Ingredients: %; Inactive Ingredients: INACTIVE INGREDIENTS: BUTANE  CYCLOPENTASILOXANE  HYDROFLUOROCARBON 152A  ISOBUTANE  PPG-14 BUTYL ETHER  FRAGRANCE  GLYCINE  DISTEARDIMONIUM HECTORITE  CALCIUM CHLORIDE  BHT  PROPYLENE CARBONATE  SODIUM STARCH OCTENYLSUCCINATE  MALTODEXTRIN  HYDROLYZED CORN STARCH OCTENYLSUCCINATE  SILICA
Good Foundation Foot Defense Eliminating Odor Spray (2020 formulation),Foot Odor Control,WATER  PROPANEDIOL  HYDROXYPROPYL BIS-HYDROXYETHYLDIMONIUM CHLORIDE  COCAMIDOPROPYL PG-DIMONIUM CHLORIDE PHOSPHATE  PHENOXYETHANOL  PROPYLENE GLYCOL  MENTHOL  GLYCERIN  ETHYLHEXYLGLYCERIN  LIMONENE  MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF OIL  EUCALYPTUS GLOBULUS LEAF OIL  SODIUM CHLORIDE  ACRYLATES COPOLYMER  ETHYL METHANE CARBOXAMIDE  HYDROXYPROPYL CELLULOSE  MENTHYL LACTATE  METHYL DIISOPROPYL PROPIONAMIDE  SODIUM PHOSPHATE  CITRUS AURANTIUM DULCIS (ORANGE) PEEL OIL  POTASSIUM CHLORIDE  POTASSIUM PHOSPHATE.
